adakalanya,ada kalanya
apabila,apa bila
bagaimana,bagai mana
barangkali,barang kali
bilamana,bila mana
beasiswa,bea siswa
belasungkawa,bela sungkawa
bumiputra,bumi putra
daripada,dari pada
darmabakti,darma bakti
darmasiswa,darma siswa
dukacita,duka cita
hulubalang,hulu balang
kacamata,kaca mata
kasatmata,kasat mata
kepada,ke pada
keratabasa,kerata basa
kosakata,kosa kata
lokakarya,loka karya
manakala,mana kala
manasuka,mana suka
mangkubumi,mangku bumi
marabahaya,mara bahaya
matahari,mata hari
olahraga,olah raga
padahal,pada hal
paramasastra,parama sastra
puspawarna,puspa warna
radioaktif,radio aktif
sastramarga,sastra marga
saputangan,sapu tangan
sari pati,saripati
sebagaimana,sebagai mana
sediakala,sedia kala
segitiga,segi tiga
silaturahmi,silatu rahmi
sukacita,suka cita
sukarela,suka rela
sukaria,suka ria
syahbandar,syah bandar
titimangsa,titi mangsa
wali kota,walikota
